GROUP 1,T1,T2,,T3,T4,,
P1,0.266666667,0.2,,0.6,0.533333333,,
P5,0.466666667,0.7,,0.866666667,1,,
P9,0.366666667,0.5,,0.7,0.833333333,,
P10,0.233333333,0.266666667,,0.7,0.666666667,,
P12,0.5,0.1,,0.6,0.5,,
P14,0.033333333,0.1,,0.566666667,0.5,,
P16,0.2,0.066666667,,0.833333333,0.266666667,,
P18,0.1,0,,0.433333333,0.4,,
P22,0.1,0.133333333,,0.466666667,0.266666667,,
P23,0.466666667,0.466666667,,0.833333333,0.466666667,,
MEAN,0.273333333,0.253333333,,0.66,0.543333333,,
SD,0.16110728,0.216641024,,0.145143607,0.221635336,,
GROUP 2,T1,,T2,T3,,T4,T5
P3,0.166666667,,0.1,0.233333333,,0.5,0.466666667
P4,0.433333333,,0.166666667,0.2,,0.4,0.4
P6,0.133333333,,0.133333333,0.066666667,,0.5,0.466666667
P7,0.033333333,,0.1,0.2,,0.366666667,0.5
P11,0.033333333,,0,0,,0.2,0.133333333
P13,0.333333333,,0.5,0.433333333,,0.9,1
P15,0.033333333,,0,0.033333333,,0.266666667,0.2
P17,0.533333333,,0.533333333,0.8,,-,-
P19,0.066666667,,0.133333333,0.033333333,,0.333333333,0.333333333
P20,0.166666667,,0.066666667,0.2,,0.333333333,0.111111111
P21,0.233333333,,0.2,0.266666667,,0.733333333,0.733333333
MEAN,0.196969697,,0.175757576,0.224242424,,0.453333333,0.434444444
SD,0.162961572,,0.171205417,0.218854183,,0.20504742,0.260220704
